"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 203",77,1350000,2,"2 "
"SQS 314",314,1745000,3,"3 "
"SQS 110",143,1650000,3,"3 "
"SQS 106",140,1690000,3,"3 "
"SQS 408",82,725000,3,"2 "
"SQS 403",106,1349000,2,"3 "
"SQS 412",90,820000,3,"1 "
"SQS 113",116,1280000,3,"3 "
"SQS 304",140,1560000,3,"2 "
"SQS 314",155,1970000,3,"3 "
"SQS 410",56,570000,2,"1 "
"SEPS 712",55,320000,1,"1 "
"SQS 306",178,2500000,3,"4 "
"SQS 306",154,16500005,3,"3 "
"SQS 109",212,1690000,3,"3 "
"SQS 214",132,1480000,3,"3 "
"SQS 109",1000,1680000,3,"3 "
"SQS 407",103,1150000,3,"3 "
"SQS 105",190,2150000,4,"3 "
"SQS 311",150,1800000,4,"5 "
"SQS 215",118,1499000,3,"3 "
"SQS 405",81,799900,3,"2 "
"SQS 103",144,1960000,4,"3 "
"SQS 310",70,775000,2,"3 "
"SQS 410",83,780000,3,"2 "
"SQS 310",370,4980000,5,"6 "
"SQS 403",155,830000,3,"2 "
"SQS 205",100,980000,3,"3 "
"SQS 406",82,680000,3,"2 "
"SQS 211",202,15950005,3,"3 "
"SQS 103",119,1350000,3,"1"
"SQS 202",142,1620000,3,"3 "
"SQS 415",53,520000,2,"1 "
"SQS 410",1,610000,2,"2 "
"SQS 310",120,1270000,3,"1 "
"SQS 411",77,780000,3,"2 "
"SQS 207",254,3500000,3,"4 "
"SEPS 713",27,320000,1,"1 "
"SQS 403",49,530000,2,"1"
"SQS 214",108,1250000,3,"2 "
"SQS 310",70,745000,2,"2 "
"SQS 416",48,510000,2,"1 "
"SQS 413",120,690000,3,"2 "
"SQS 210",76,1078000,2,"2 "
"SQS 109",160,1399000,3,"3 "
"SQS 107",136,1200000,3,"3 "
"SQS 105",166,2150000,4,"3 "
"SQS 107",178,1400000,4,"2 "
"SQS 312",377,5900000,4,"6 "
"SQS 105",191,1850000,4,"3 "
"SQS 210",185,2750000,3,"3 "
"SQS 312",540,5900000,4,"6 "
"SQS 215",120,1500000,3,"3 "
"SQS 302",220,2450000,5,"4 "
"SQS 204",100,1230000,3,"3 "
"SQS 205",64,8e+05,2,"2 "
"SQS 108",170,1600000,4,"3 "
"SQS 413",83,750000,3,"2 "
"SQS 403",118,750000,3,"2 "
"SEPS 713",25,310000,1,"1 "
"SQS 107",178,1450000,4,"1"
"SGAS 910",26,215000,1,"1 "
"SQS 413",83,750000,3,"1 "
"SQS 312",377,5900000,4,"6 "
"SQS 203",77,1350000,2,"2 "
"SQS 311",205,1900000,3,"3 "
"SQS 306",154,1100980,3,"2 "
"SQS 405",79,740000,2,"2 "
"SQS 412",50,429000,2,"1 "
"SQS 116",204,3200000,4,"5 "
"SQS 105",154,1685000,3,"4 "
"SQS 304",177,1650000,4,"3 "
"SQS 405",39,380000,1,"1 "
"SQS 415",48,490000,2,"1"
"SQS 208",196,2100000,4,"3 "
"SQS 412",77,770000,3,"2 "
"SQS 103",150,1200000,2,"3 "
"SQS 207",175,2990000,3,"3 "
"SEPS 712",40,270000,1,"1 "
"SQS 311",150,1700000,3,"5 "
"SQS 109",136,1480000,3,"3 "
"SQS 213",210,2650000,4,"3 "
"SQS 114",200,2500000,4,"2 "
"SEPS 912",28,290000,1,"1"
"SQS 403",83,859000,3,"1 "
"SQS 105",153,1599999,3,"3 "
"SQS 315",131,1650000,3,"4 "
"SQS 213",172,2190000,3,"3 "
"SQS 310",75,970000,2,"2 "
"SQS 409",72,750000,2,"2 "
"CLS 206",161,1895000,3,"3 "
"SQS 415",54,560000,2,"1 "
"SQS 410",85,780000,3,"1 "
"SQS 210",258,2150000,4,"3 "
